no,category,title_ko,title_original,theme,source,gutenberg_id
1,이솝 우화,개미와 베짱이,The Ant and the Grasshopper,근면 vs 게으름,G,11339
2,이솝 우화,토끼와 거북이,The Tortoise and the Hare,교만 vs 꾸준함,G,11339
3,이솝 우화,양치기 소년,The Boy Who Cried Wolf,거짓말의 대가,G,11339
4,이솝 우화,북풍과 태양,The North Wind and the Sun,강압 vs 설득,G,11339
5,이솝 우화,사자와 쥐,The Lion and the Mouse,작은 은혜의 보답,G,11339
6,이솝 우화,신포도 (여우와 포도),The Fox and the Grapes,합리화 심리,G,11339
7,이솝 우화,금도끼 은도끼,The Honest Woodcutter,정직의 보상,G,11339
8,이솝 우화,도시 쥐와 시골 쥐,The Town Mouse and the Country Mouse,안전 vs 풍요,G,11339
9,이솝 우화,까마귀와 물병,The Crow and the Pitcher,지혜와 인내,G,11339
10,이솝 우화,사슴과 그림자,The Stag at the Pool,겉모습 vs 실용,G,11339
11,이솝 우화,개와 고기 그림자,The Dog and Its Reflection,탐욕의 대가,G,11339
12,이솝 우화,늑대와 양,The Wolf in Sheep's Clothing,위장과 기만,G,11339
13,이솝 우화,박쥐와 족제비,The Bat and the Weasels,기회주의의 위험,G,11339
14,이솝 우화,나그네와 외투,The Traveler and His Cloak,부드러움의 힘,G,11339
15,이솝 우화,황금알을 낳는 거위,The Goose That Laid the Golden Eggs,탐욕이 부른 파멸,G,11339
16,이솝 우화,사자의 몫,The Lion's Share,권력의 횡포,G,11339
17,이솝 우화,올빼미의 충고,The Owl's Advice,무시당한 지혜,G,11339
18,이솝 우화,개구리와 황소,The Frog and the Ox,허영과 자멸,G,11339
19,이솝 우화,생쥐 회의,Belling the Cat,실행 없는 계획,G,11339
20,이솝 우화,토끼와 사냥개,The Hare and the Hound,생존의 절박함,G,11339
21,그림 형제,브레멘 음악대,Town Musicians of Bremen,버림받은 자들의 연대,G,2591
22,그림 형제,헨젤과 그레텔,Hansel and Gretel,위기 속 남매의 지혜,G,2591
23,그림 형제,라푼젤,Rapunzel,자유와 구속,G,12710
24,그림 형제,럼펠슈틸츠헨,Rumpelstiltskin,이름의 힘 / 거래의 대가,G,12708
25,그림 형제,황금 거위,The Golden Goose,순수한 선행의 보상,G,2591
26,그림 형제,용감한 재봉사,The Brave Little Tailor,기지와 허세,G,2591
27,그림 형제,늑대와 일곱 마리 아기 염소,The Wolf and the Seven Young Goats,경계와 지혜,G,2591
28,그림 형제,어부와 그의 아내,The Fisherman and His Wife,끝없는 욕심,G,2591
29,그림 형제,개구리 왕자,The Frog Prince,약속 이행,G,2591
30,그림 형제,잠자는 숲속의 공주,Sleeping Beauty,저주와 구원,G,12704
31,페로,장화 신은 고양이,Puss in Boots,지혜와 기지,G,29021
32,페로,빨간 모자,Little Red Riding Hood,낯선 자의 위험,G,29021
33,페로,신데렐라,Cinderella,인내와 보상,G,29021
34,페로,푸른 수염,Bluebeard,호기심과 금기,G,43457
35,페로,엄지동자,Tom Thumb,작은 자의 큰 지혜,G,29021
36,안데르센,미운 오리 새끼,The Ugly Duckling,정체성과 성장,G,27200
37,안데르센,성냥팔이 소녀,The Little Match Girl,빈곤과 무관심,G,27200
38,안데르센,벌거벗은 임금님,The Emperor's New Clothes,허영과 아첨,G,27200
39,안데르센,인어공주,The Little Mermaid,사랑과 희생,G,27200
40,안데르센,눈의 여왕,The Snow Queen,우정과 구원,G,27200
41,안데르센,엄지공주,Thumbelina,역경 속 희망,G,27200
42,안데르센,공주와 완두콩,The Princess and the Pea,진짜와 가짜,G,27200
43,안데르센,주석 병정,The Steadfast Tin Soldier,변치 않는 사랑,G,27200
44,안데르센,나이팅게일,The Nightingale,진짜 아름다움 vs 가짜,G,71096
45,안데르센,빨간 구두,The Red Shoes,허영의 대가,G,27200
46,일본·인도,혀 내민 참새,,욕심의 대가,△G,4018
47,일본·인도,모모타로,,용기와 동료애,G,33051
48,일본·인도,학의 보은,,은혜와 희생,△G,4018
49,일본·인도,원숭이와 게,,협동과 응징,△G,4018
50,일본·인도,자타카 (본생담),,전생의 자비,G,62514
51,유럽 근대,피노키오,The Adventures of Pinocchio,거짓말·양심·성장,G,500
52,유럽 근대,행복한 왕자,The Happy Prince,자기희생과 위선,G,902
53,유럽 근대,이기적인 거인,The Selfish Giant,이기심 vs 나눔,G,902
54,유럽 근대,피터 팬,Peter Pan,성장 거부와 동심,G,16
55,유럽 근대,오즈의 마법사,The Wonderful Wizard of Oz,자신 안의 힘,G,55
56,유럽 근대,아기 돼지 삼형제,The Story of the Three Little Pigs,노력과 준비,G,18155
57,유럽 근대,잭과 콩나무,Jack and the Beanstalk,모험과 용기,△G,7439
58,유럽 근대,세 마리 곰,Goldilocks and the Three Bears,적당함의 미덕,△G,49001
59,유럽 근대,피리 부는 사나이,The Pied Piper of Hamelin,약속 불이행의 대가,G,18343
60,중동,알리바바와 40인의 도적,Ali Baba and the Forty Thieves,지혜와 충성,G,34206
61,중동,알라딘과 요술 램프,Aladdin and the Wonderful Lamp,욕망과 책임,G,34206
62,중동,신밧드의 모험,Sinbad the Sailor,도전과 생존,G,34206
63,중동,나스레딘 호자 이야기,The Turkish Jester,역설적 지혜,G,16244
64,중동,거미 아난시,Anansi the Spider,약자의 꾀,△G,48828
65,라 퐁텐,매미와 개미,La Cigale et la Fourmi,근면 vs 향락,G,7241
66,라 퐁텐,참나무와 갈대,Le Chene et le Roseau,유연함의 힘,G,7241
67,라 퐁텐,우유통을 든 소녀,La Laitiere et le Pot au Lait,헛된 공상,G,7241
68,라 퐁텐,여우와 까마귀,Le Corbeau et le Renard,아첨에 넘어감,G,7241
69,라 퐁텐,늑대와 개,Le Loup et le Chien,자유 vs 안락,G,7241
70,라 퐁텐,두 마리 당나귀,Les Deux Mulets,겉치레의 위험,G,7241
71,라 퐁텐,토끼와 개구리,Le Lievre et les Grenouilles,누구에게나 두려움이 있다,G,7241
72,한국 전래,흥부와 놀부,,선행 vs 탐욕,,
73,한국 전래,별주부전 (토끼전),,지혜와 속임수의 대결,,
74,한국 전래,선녀와 나무꾼,,약속과 신뢰,,
75,한국 전래,호랑이와 곶감,,공포와 무지의 유머,,
76,한국 전래,장화홍련전,,계모의 학대 / 권선징악,,
77,한국 전래,해와 달이 된 오누이,,위기 속 용기와 기지,,
78,한국 전래,은혜 갚은 까치,,은혜와 보은,,
79,한국 전래,도깨비 감투,,욕심의 대가,,
80,한국 전래,혹부리 영감,,탐욕 vs 순수함,,
81,한국 전래,소가 된 게으름뱅이,,근면의 교훈,,
82,한국 전래,금강산 호랑이,,약속과 신의,,
83,한국 전래,나무꾼과 선녀,,비밀 엄수와 신뢰,,
84,한국 전래,삼년고개,,역발상의 지혜,,
85,한국 전래,의좋은 형제,,형제애와 양보,,
86,한국 전래,팥죽 할머니와 호랑이,,협동의 힘,,
